                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4745,                 5.5595,                 2.0078,                 0.1464,                0.14139,                0.08205,                0.02948,                 2.0723,                 3.2579,                 1.7823,               0.067226,             0.00033105,             0.00033105
                      1,                 2.0273,                 2.7829,                 1.7009,                0.33542,                0.31936,                0.24926,                0.10805,                 1.8813,                 2.2207,                 1.5956,                 0.0342,             0.00063807,             0.00063807
                      2,                 1.9439,                 2.2533,                 1.5811,                0.37453,                0.35024,                0.30653,                0.13403,                 1.8961,                 2.0729,                 1.5722,               0.001147,              0.0009187,              0.0009187
                      3,                 1.8686,                 2.0037,                 1.4937,                0.45127,                0.37516,                0.35548,                0.16061,                 1.8213,                 1.9153,                 1.4596,              0.0008812,              0.0008812,              0.0008812
                      4,                 1.8239,                 1.8857,                 1.4425,                0.49344,                0.43313,                0.43192,                 0.1995,                 1.7878,                 1.7324,                 1.4496,              0.0008812,              0.0008812,              0.0008812
                      5,                 1.8092,                 1.7889,                  1.445,                0.46484,                0.43565,                0.40888,                0.18863,                 1.7877,                 1.7793,                 1.4331,              0.0008416,              0.0008416,              0.0008416
                      6,                 1.7634,                 1.7212,                 1.4019,                0.50818,                0.45862,                0.45418,                0.21893,                 1.7293,                 1.6653,                 1.4121,               0.000802,               0.000802,               0.000802
                      7,                 1.7454,                 1.6585,                   1.38,                0.48427,                0.49474,                0.46484,                0.21546,                 1.7356,                 1.6315,                 1.3854,              0.0007624,              0.0007624,              0.0007624
                      8,                 1.7232,                 1.5859,                 1.3659,                0.51178,                0.47386,                0.48028,                0.22836,                 1.7255,                 1.5962,                 1.3818,              0.0007228,              0.0007228,              0.0007228
                      9,                 1.7025,                 1.5775,                 1.3545,                0.54092,                0.47787,                0.46776,                0.21834,                 1.7546,                 1.6136,                 1.4008,              0.0006832,              0.0006832,              0.0006832
                     10,                 1.6813,                   1.51,                 1.3422,                0.51913,                0.48938,                0.47297,                0.23166,                 1.7214,                 1.6034,                 1.3908,              0.0006436,              0.0006436,              0.0006436
                     11,                   1.68,                 1.4886,                 1.3364,                0.54642,                0.53114,                0.52518,                0.25561,                 1.7062,                 1.4966,                 1.3744,               0.000604,               0.000604,               0.000604
                     12,                 1.6467,                 1.4224,                 1.3246,                 0.5049,                0.50665,                0.49751,                0.23791,                 1.7229,                  1.547,                 1.3722,              0.0005644,              0.0005644,              0.0005644
                     13,                 1.6442,                 1.4436,                 1.3146,                0.52204,                0.48801,                 0.4854,                0.22925,                 1.7546,                 1.5821,                 1.4007,              0.0005248,              0.0005248,              0.0005248
                     14,                 1.6283,                  1.402,                 1.3072,                0.58146,                0.52675,                 0.5418,                0.26212,                 1.7002,                 1.4546,                 1.3626,              0.0004852,              0.0004852,              0.0004852
                     15,                 1.6321,                  1.386,                 1.3289,                0.56737,                0.52732,                0.53848,                0.25838,                 1.7107,                 1.4811,                 1.3445,              0.0004456,              0.0004456,              0.0004456
                     16,                 1.6123,                 1.3331,                 1.3149,                0.54533,                0.53944,                0.53248,                 0.2567,                 1.7125,                 1.4721,                 1.3564,               0.000406,               0.000406,               0.000406
                     17,                 1.5954,                 1.2758,                 1.3011,                 0.5534,                0.55543,                0.54984,                0.26909,                 1.7015,                 1.4308,                 1.3468,              0.0003664,              0.0003664,              0.0003664
                     18,                  1.578,                  1.287,                 1.2936,                0.58005,                0.56219,                0.56779,                0.27226,                 1.7138,                 1.4199,                 1.3561,              0.0003268,              0.0003268,              0.0003268
                     19,                 1.5684,                 1.2274,                 1.2831,                0.56274,                0.56909,                0.56514,                0.27502,                 1.7056,                 1.4046,                 1.3608,              0.0002872,              0.0002872,              0.0002872
                     20,                 1.5472,                 1.2266,                 1.2756,                0.57446,                0.56693,                 0.5709,                0.27807,                 1.6976,                 1.3856,                 1.3513,              0.0002476,              0.0002476,              0.0002476
                     21,                 1.5272,                 1.1907,                 1.2607,                0.58432,                0.54796,                0.57554,                0.28056,                 1.6988,                 1.3966,                  1.355,               0.000208,               0.000208,               0.000208
                     22,                  1.535,                 1.1847,                 1.2702,                0.59686,                0.58277,                0.57637,                0.28131,                 1.7033,                 1.3857,                 1.3514,              0.0001684,              0.0001684,              0.0001684
                     23,                 1.5154,                 1.1613,                 1.2624,                0.59362,                0.57342,                0.58627,                0.28883,                 1.7007,                 1.3643,                 1.3546,              0.0001288,              0.0001288,              0.0001288
                     24,                 1.5177,                 1.1518,                 1.2493,                0.59679,                 0.5699,                0.58795,                0.28754,                 1.6993,                 1.3681,                  1.351,               8.92e-05,               8.92e-05,               8.92e-05
